year,facility_name,city,state,parent_company,chemical,air_emissions_lbs
2024,BAE SYSTEMS INFORMATION & ELECTRONIC SYSTEMS INTEGRATION,NASHUA,NH,BAE SYSTEMS INC,N-Methyl-2-pyrrolidone,234.0
2024,NORTHROP GRUMMAN SYSTEMS CORP,LINTHICUM HEIGHTS,MD,NORTHROP GRUMMAN CORP,N-Methyl-2-pyrrolidone,6467.0
2024,BAERLOCHER PRODUCTION USA LLC,CINCINNATI,OH,BAERLOCHER CHEMICALS OF NORTH AMERICA INC,Zinc compounds,500.0
2024,LOCKHEED MARTIN - ARCHBALD,ARCHBALD,PA,LOCKHEED MARTIN CORP,Lead,7.65
2024,NORTHROP GRUMMAN SYSTEMS CORP (NEW RIVER ENERGETICS),RADFORD,VA,NORTHROP GRUMMAN CORP,Lead  And Lead Compounds,4.5
2024,NORTHROP GRUMMAN SYSTEMS CORP - PROMONTORY,PROMONTORY,UT,NORTHROP GRUMMAN CORP,Dioxin and dioxin-like compounds,0.926
2024,NORTHROP GRUMMAN SYSTEMS CORPORATION,MANHATTAN BEACH,CA,NORTHROP GRUMMAN CORP,Methanol,257.0
2024,NORTHROP GRUMMAN SYSTEMS CORP - PROMONTORY,PROMONTORY,UT,NORTHROP GRUMMAN CORP,Polycyclic aromatic compounds,1080.86
2024,BAE SYSTEMS NORFOLK SHIP REPAIR,NORFOLK,VA,BAE SYSTEMS INC,n-Butyl alcohol,9768.0
2024,SIKORSKY AIRCRAFT STRATFORD FACILITY,STRATFORD,CT,LOCKHEED MARTIN CORP,Nitric acid,4621.0
2024,BAERLOCHER PRODUCTION USA LLC,CINCINNATI,OH,BAERLOCHER CHEMICALS OF NORTH AMERICA INC,Barium  And Barium Compounds,500.0
2024,BAE SYSTEMS,LOUISVILLE,KY,BAE SYSTEMS INC,Chromium,12.546
2024,BAE SYSTEMS CONTROLS INC,ENDICOTT,NY,BAE SYSTEMS INC,Lead,2.73
2024,USAF PLANT 42 SITE 4 NORTHROP GRUMMAN SYSTEMS CORP,PALMDALE,CA,NORTHROP GRUMMAN CORP,sec-Butyl alcohol,10506.0
2024,LOCKHEED MARTIN MISSILES & FIRE CONTROL,LUFKIN,TX,LOCKHEED MARTIN CORP,Lead,1.3
2024,BAE SYSTEMS NORFOLK SHIP REPAIR,NORFOLK,VA,BAE SYSTEMS INC,Copper  And Copper Compounds,592.0
2024,LOCKHEED MARTIN MISSILES & FIRE CONTROL,GRAND PRAIRIE,TX,LOCKHEED MARTIN CORP,Lead,0.2
2024,NORTHROP GRUMMAN SYSTEMS CORP - PROMONTORY,PROMONTORY,UT,NORTHROP GRUMMAN CORP,"Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",70671.0
2024,BAE SYSTEMS PLATFORMS & SERVICES LP,ANNISTON,AL,BAE SYSTEMS INC,Manganese,24.0
2024,BAE SYSTEMS,LOUISVILLE,KY,BAE SYSTEMS INC,Lead,0.42
2024,BAE SYSTEMS NORFOLK SHIP REPAIR,NORFOLK,VA,BAE SYSTEMS INC,Chromium  and Chromium Compounds(except for chromite ore mined in the Transvaal Region),18.0
2024,BAE SYSTEMS CONTROLS INC.,FORT WAYNE,IN,BAE SYSTEMS INC,Lead,1.66
2024,USAF PLANT 42 SITE 4 NORTHROP GRUMMAN SYSTEMS CORP,PALMDALE,CA,NORTHROP GRUMMAN CORP,Methyl isobutyl ketone,9758.0
